kegg_drug,pubchem_sid,pubchem_cid
D01387,7848450,5807
D01390,7848453,2176
D01397,7848460,92727
D01425,7848488,151114
D01432,7848495,123596
D01441,7848504,5282418
D01448,7848511,5282419
D01450,7848513,64119
D01453,7848516,27072
D01454,7848517,5282421
D01462,7848525,3395
D01475,7848538,2097
D01513,7848576,5720
D01547,7848610,5485193
D01549,7848612,5282183
D01565,7848628,10649
D01575,7848638,4888
D01578,7848641,1981
D01582,7848645,3475
D01599,7848662,8248
D01603,7848666,65889
D01652,7848715,444020
D01665,7848728,5362115
D01667,7848730,1549120
D01688,7848751,444025
D01689,7848752,5663
D01690,7848753,71764
D01692,7848755,444030
D01699,7848762,151170
D01704,7848767,23674745
D01709,7848772,23675769
D01712,7848775,157313
D01715,7848778,133264
D01717,7848780,54384
D01718,7848781,4237
D01745,7848808,3151
D01747,7848810,636362
D01765,7848828,5282193
D01767,7848830,54677971
D01768,7848831,6420040
D01782,7848844,5284472
D01799,7848861,71793
D01811,7848873,5147
D01825,7848887,6215
D01828,7848890,2161
D01840,7848902,163751
D01842,7848904,160024
D01844,7848906,636380
D01854,7848916,6918235
D01862,7848924,5282451
D01866,7848928,54690031
D01871,7848933,71177
D01885,7848947,636397
D01888,7848950,636399
D01891,7848953,5311225
D01900,7848962,71992
D01907,7848969,30751
D01911,7848973,153751
D01915,7848977,5282455
D01918,7848980,23663985
D01925,7848987,656609
D01964,7849026,5282226
D01965,7849027,5312125
D01966,7849028,150311
D01968,7849030,121586
D01969,7849031,119442
D01973,7849035,656631
D01974,7849036,159271
D01977,7849039,123631
D01981,7849043,9574101
D01984,7849046,21121303
D01994,7849056,6918047
D02007,7849069,5282469
D02008,7849070,110635
D02017,7849079,656652
D02041,7849103,656664
D02042,7849104,6918034
D02066,7849128,656677
D02068,7849130,2723754
D02070,7849132,10429215
D02076,7849138,54405
D02082,7849144,5282474
D02086,7849147,6314
D02087,7849148,34632
D02088,7849149,108173
D02092,7849153,656684
D02098,7849159,517321
D02101,7849162,6321303
D02110,7849171,23674731
D02115,7849176,23678981
D02147,7849208,2083
D02149,7849210,5815
D02150,7849211,656783
D02163,7849224,5282479
D02166,7849227,51082
D02168,7849229,60699
D02173,7849234,121587
D02176,7849237,10917
D02193,7849253,10547
D02194,7849254,23663403
D02204,7849264,5938
D02207,7849267,23422
D02214,7849274,65348
D02217,7849276,54900
D02229,7849288,135413523
D02234,7849293,11954233
D02237,7849296,65328
D02250,7849309,441258
D02253,7849312,656845
D02258,7849317,656846
D02261,7849320,2723885
D02262,7849321,61367
D02267,7849326,169569
D02272,7849331,64640
D02278,7849337,104152
D02279,7849338,69568
D02289,7849348,247839
D02290,7849349,23706216
D02304,7849363,5962
D02308,7849367,444972
D02315,7849374,445639
D02321,7849380,2179
D02323,7849382,53359
D02327,7849386,11224
