CID,MolecularWeight,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Title,XLogP,XLogP_Source,Status,Formula,MW
5994,314.5,314.2245802,34.1,589,0,0,2,1,23,0,6,6,0,0,0,0,1,254.3,6,2,0,0,0,4,0,0.6,2.8,2,Progesterone,3.9,PubChem XLogP,OK,C21H30O2,314.5
5997,386.7,386.3548661,20.2,591,0,1,1,5,28,0,8,8,0,0,0,0,1,325.9,9,1,1,0,0,4,3,0.8,7,8,Cholesterol,8.7,PubChem XLogP,OK,C27H46O,386.7
6013,288.4,288.2089301,37.3,508,0,1,2,0,21,0,6,6,0,0,0,0,1,230.1,7,2,1,0,0,4,0,0.6,1.8,1,Testosterone,3.3,PubChem XLogP,OK,C19H28O2,288.4
6014,320.9,320.1113975,31.8,298,0,1,3,3,21,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Promethazine Hydrochloride,,,Not applicable (ionic/extreme),C17H21ClN2S,320.9
6047,197.19,197.0688078,104,209,0,4,5,3,14,0,1,1,0,0,0,0,1,147.5,8,2,3,1,1,1,0,0.6,3,10,Levodopa,-2.7,PubChem XLogP,OK,C9H11NO4,197.19
6049,292.24,292.0906655,156,315,0,4,10,11,20,0,0,0,0,0,0,0,1,211.7,14,8,0,4,2,0,0,1,11,10,Ethylenediaminetetraacetic Acid,-5.9,PubChem XLogP,OK,C10H16N2O8,292.24
6081,247.72,247.0975211,64.7,189,0,3,4,4,16,0,2,0,2,0,0,0,2,,,,,,,,,,,0,"2-Amino-1-(2,5-dimethoxyphenyl)propan-1-ol hydrochloride",,,Not applicable (ionic/extreme),C11H18ClNO3,247.72
6083,347.22,347.0630848,186,481,0,5,11,4,23,0,4,4,0,0,0,0,1,232.7,17,6,3,1,4,3,0,0.8,5,10,Adenosine Monophosphate,-3.5,PubChem XLogP,OK,C10H14N5O7P,347.22
6100,414.4,413.06603,65.6,349,0,0,3,3,24,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Bretylium Tosylate,,,Not applicable (ionic/extreme),C18H24BrNO3S,414.4
6140,165.19,165.0789786,63.3,153,0,2,3,3,12,0,1,1,0,0,0,0,1,132.1,6,2,1,1,1,1,0,0.6,3,10,L-Phenylalanine,-1.5,PubChem XLogP,OK,C9H11NO2,165.19
6215,452.5,452.201045,93.1,960,0,2,8,2,32,0,9,9,0,0,0,0,1,330.1,14,6,2,0,0,5,1,0.8,3.6,2,Fluocinolone Acetonide,2.5,PubChem XLogP,OK,C24H30F2O6,452.5
6230,298.4,298.1932801,37.3,594,0,1,2,1,22,0,6,6,0,0,0,0,1,240.1,8,2,1,0,0,4,1,0.6,1.8,2,Norethindrone,3,PubChem XLogP,OK,C20H26O2,298.4
6253,243.22,243.0855205,129,383,0,4,5,2,17,0,4,4,0,0,0,0,1,170.8,12,5,5,0,0,2,0,0.6,3,10,Cytarabine,-2.1,PubChem XLogP,OK,C9H13N3O5,243.22
6256,296.2,296.0620059,99.1,464,0,3,8,2,20,0,3,3,0,0,0,0,1,195.8,10,5,3,0,0,2,0,0.6,4,10,Trifluridine,-0.5,PubChem XLogP,OK,C10H11F3N2O5,296.2
6274,155.15,155.0694765,92,151,0,3,4,3,11,0,1,1,0,0,0,0,1,117.2,8,2,2,1,2,1,0,0.6,3,10,L-Histidine,-3.2,PubChem XLogP,OK,C6H9N3O2,155.15
6279,386.5,386.2457096,60.4,767,0,0,4,3,28,0,7,7,0,0,0,0,1,303,7,3,0,0,0,4,0,0.8,4.8,3,Medroxyprogesterone Acetate,4.1,PubChem XLogP,OK,C24H34O4,386.5
6287,117.15,117.0789786,63.3,90,0,2,3,2,8,0,1,1,0,0,0,0,1,94.4,6,2,1,1,1,0,1,0.4,2,8,L-Valine,-2.3,PubChem XLogP,OK,C5H11NO2,117.15
6288,119.12,119.0582431,83.6,93,0,3,4,2,8,0,2,2,0,0,0,0,1,88.9,7,3,2,1,1,0,0,0.4,2,9,L-Threonine,-2.9,PubChem XLogP,OK,C4H9NO3,119.12
6306,131.17,131.0946287,63.3,103,0,2,3,3,9,0,2,2,0,0,0,0,1,106.1,7,2,1,1,1,0,2,0.6,3,10,L-Isoleucine,-1.7,PubChem XLogP,OK,C6H13NO2,131.17
6314,270.8,270.1498911,32.3,228,0,2,2,5,18,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Lidocaine Hydrochloride,,,Not applicable (ionic/extreme),C14H23ClN2O,270.8
6446,336.4,336.2100729,57.5,630,0,2,4,0,24,0,7,7,0,0,0,0,1,258.3,9,3,2,0,0,4,0,0.6,1.8,1,Fluoxymesterone,2.4,PubChem XLogP,OK,C20H29FO3,336.4
6726,266.4,266.1782987,6.5,253,0,0,2,3,20,0,0,0,0,0,0,0,1,220.6,5,0,0,0,2,3,0,0.6,4.2,6,Cyclizine,3.6,PubChem XLogP,OK,C18H22N2,266.4
6883,236.14,236.0280652,129,268,0,0,8,2,16,0,4,4,0,0,0,0,1,155,8,6,0,0,0,2,0,0.6,5.2,10,Isosorbide Dinitrate,1.3,PubChem XLogP,OK,C6H8N2O8,236.14
7550,261.12,260.01604,33.4,182,0,0,3,2,14,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Pyridostigmine Bromide,,,Not applicable (ionic/extreme),C9H13BrN2O2,261.12
8246,303.2,302.06299,29.5,246,0,0,3,3,17,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Neostigmine Bromide,,,Not applicable (ionic/extreme),C12H19BrN2O2,303.2
8248,452.6,452.2205747,171,222,0,4,6,8,31,0,0,0,0,0,0,0,3,,,,,,,,,,,0,Batel,,,Not applicable (ionic/extreme),C20H32N6O4S,452.6
8280,157.17,157.0738932,46.6,214,0,0,3,1,11,0,1,0,1,0,0,0,1,121.3,4,2,0,0,0,1,1,0.4,1.6,6,Paramethadione,0.8,PubChem XLogP,OK,C7H11NO3,157.17
8288,608.5,606.206187,58.2,614,0,2,4,14,38,0,0,0,0,0,0,0,3,,,,,,,,,,,0,Ambenonium Chloride,,,Not applicable (ionic/extreme),C28H42Cl4N4O2,608.5
8307,201.69,201.0920418,20.2,145,0,1,2,2,13,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Edrophonium Chloride,,,Not applicable (ionic/extreme),C10H16ClNO,201.69
8366,248.32,248.1524779,79.1,212,0,3,3,3,18,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Etryptamine Acetate,,,Not applicable (ionic/extreme),C14H20N2O2,248.32
8695,300.82,300.1604557,41.6,249,0,2,4,9,20,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Tetracaine Hydrochloride,,,Not applicable (ionic/extreme),C15H25ClN2O2,300.82
8955,316.5,316.2402303,37.3,550,0,1,2,1,23,0,7,7,0,0,0,0,1,256,7,2,1,0,0,4,0,0.6,3,2,Pregnenolone,4.2,PubChem XLogP,OK,C21H32O2,316.5
9034,262.3,262.1317424,66.5,497,0,1,3,3,19,0,2,0,2,0,0,0,1,207.1,8,3,1,0,0,1,3,0.6,3.6,10,Methohexital,2.3,PubChem XLogP,OK,C14H18N2O3,262.3
9051,312.4,312.2089301,34.1,628,0,0,2,1,23,0,6,6,0,0,0,0,1,252.8,6,2,0,0,0,4,0,0.6,2.4,2,Dydrogesterone,3.8,PubChem XLogP,OK,C21H28O2,312.4
9270,384.5,384.2300595,52.6,758,0,0,4,5,28,0,7,7,0,0,0,0,1,303.5,7,2,0,0,0,4,1,0.8,6,6,Ethynodiol Diacetate,3.9,PubChem XLogP,OK,C24H32O4,384.5
9373,195.69,195.0814771,3.2,159,0,1,1,3,13,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Pargyline Hydrochloride,,,Not applicable (ionic/extreme),C11H14ClN,195.69
9433,420.43,420.1981993,191,273,0,4,8,1,30,0,0,0,0,0,0,0,3,,,,,,,,,,,0,Aminophylline,,,Not applicable (ionic/extreme),C16H24N10O4,420.43
9642,494.5,494.2116097,99.1,1070,0,1,9,4,35,0,9,9,0,0,0,0,1,362.3,13,6,1,0,0,5,1,0.8,5.6,10,Fluocinonide,3.2,PubChem XLogP,OK,C26H32F2O7,494.5
9651,287.35,287.1521435,41.9,440,0,1,4,1,21,0,3,3,0,0,0,0,1,218.5,9,3,1,0,1,4,0,0.6,2.4,4,(-)-Galantamine,1.8,PubChem XLogP,OK,C17H21NO3,287.35
9681,353.5,353.2103271,57.5,578,0,2,3,4,26,0,3,3,0,0,0,0,1,279.9,11,2,2,0,2,4,1,0.8,5.8,10,Methysergide,2.3,PubChem XLogP,OK,C21H27N3O2,353.5
9878,376.5,376.2049876,74.6,787,0,2,5,1,27,0,8,8,0,0,0,0,1,287.9,10,4,2,0,0,4,0,0.6,2.4,2,Fluorometholone,2,PubChem XLogP,OK,C22H29FO4,376.5
10133,392.6,392.2926598,77.8,605,0,3,4,4,28,0,10,10,0,0,0,0,1,310.5,12,4,2,1,0,4,1,0.8,6.2,5,Chenodeoxycholic Acid,4.9,PubChem XLogP,OK,C24H40O4,392.6
10547,383.23,383.0181,60.8,208,0,0,5,8,16,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Echothiophate Iodide,,,Not applicable (ionic/extreme),C9H23INO3PS,383.23
10649,527.6,526.2630027,59.8,532,0,2,4,11,36,0,0,0,0,0,0,0,3,,,,,,,,,,,0,Dequalinium Chloride,,,Not applicable (ionic/extreme),C30H40Cl2N4,527.6
10660,470,469.1880675,81.8,509,0,1,5,6,33,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Dimenhydrinate,,,Not applicable (ionic/extreme),C24H28ClN5O3,470
10917,161.2,161.1051933,60.4,134,0,1,3,3,11,0,1,1,0,0,0,0,1,128.7,6,3,1,1,1,0,0,0.6,4,5,(-)-Carnitine,-0.2,PubChem XLogP,OK,C7H15NO3,161.2
11065,313.9,313.1597275,3.2,331,0,1,1,3,22,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Amitriptyline Hydrochloride,,,Not applicable (ionic/extreme),C20H24ClN,313.9
11224,388.5,388.199822,100,369,0,2,7,9,28,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Donormil,,,Not applicable (ionic/extreme),C21H28N2O5,388.5
11693,398.3,397.12526,46.5,424,0,1,4,5,24,0,2,0,2,0,0,0,2,,,,,,,,,,,0,Glycopyrrolate,,,Not applicable (ionic/extreme),C19H28BrNO3,398.3
13109,312.4,312.2089301,37.3,609,0,1,2,2,23,0,6,6,0,0,0,0,1,251.4,9,2,1,0,0,4,2,0.6,2.8,1,Levonorgestrel,3.3,PubChem XLogP,OK,C21H28O2,312.4
13221,203.75,203.1440774,12,197,0,2,1,1,13,0,3,0,3,0,0,0,2,,,,,,,,,,,0,Mecamylamine Hydrochloride,,,Not applicable (ionic/extreme),C11H22ClN,203.75
13769,300.4,300.1725446,43.4,602,0,0,3,0,22,0,5,5,0,0,0,0,1,234.1,6,2,0,0,0,4,0,0.6,1.4,1,Testolactone,3,PubChem XLogP,OK,C19H24O3,300.4
14677,296.4,296.1347198,31.8,339,0,0,3,2,21,0,1,0,1,0,0,0,1,237.1,6,0,0,0,2,4,0,0.6,3.4,7,Methdilazine,5.2,PubChem XLogP,OK,C18H20N2S,296.4
15130,353.5,353.2354792,29.5,404,0,0,3,9,26,0,2,2,0,0,0,0,1,290.1,5,1,0,0,1,2,1,1,9,7,Levomethadyl Acetate,4.3,PubChem XLogP,OK,C23H31NO2,353.5
15209,436.5,436.2261169,93.1,868,0,2,7,2,31,0,9,9,0,0,0,0,1,327,14,6,2,0,0,5,1,0.8,4,4,Flurandrenolide,1.4,PubChem XLogP,OK,C24H33FO6,436.5
15851,274.18,273.0687196,29.1,269,0,2,2,2,17,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Ketamine Hydrochloride,,,Not applicable (ionic/extreme),C13H17Cl2NO,274.18
16078,314.5,314.2245802,29.5,439,0,1,2,4,23,0,2,2,0,0,0,0,1,260.6,8,1,1,0,0,3,3,0.8,4.8,10,Tetrahydrocannabinol,7,PubChem XLogP,OK,C21H30O2,314.5
16362,461.5,461.2278689,35.6,632,0,1,4,7,34,0,0,0,0,0,0,0,1,362.6,8,1,1,0,1,5,0,1,8.2,10,Pimozide,6.3,PubChem XLogP,OK,C28H29F2N3O,461.5
19648,1457.4,1456.433479,922,1020,0,30,42,18,95,0,30,30,0,0,0,0,5,,,,,,,,,,,0,Streptomycin Sulfate,,,Not applicable (ionic/extreme),C42H84N14O36S3,1457.4
20179,266.6,264.99403,36.4,222,0,3,1,2,15,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Clonidine Hydrochloride,,,Not applicable (ionic/extreme),C9H10Cl3N3,266.6
20279,285.69,285.062867,119,338,0,3,7,2,19,0,3,3,0,0,0,0,1,196.2,13,3,3,0,4,3,0,0.6,3,10,Cladribine,0.8,PubChem XLogP,OK,C10H12ClN5O3,285.69
21467,215.72,215.1076919,35.3,139,0,2,2,3,14,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Mexiletine Hydrochloride,,,Not applicable (ionic/extreme),C11H18ClNO,215.72
21850,269.3,269.1487895,116,310,0,3,5,1,19,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Ambuphylline,,,Not applicable (ionic/extreme),C11H19N5O3,269.3
22502,588.7,588.2617708,169,752,0,4,10,11,41,0,3,3,0,0,0,0,3,,,,,,,,,,,0,"4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-((phenylacetyl)amino)-(2S,5R,6R)-, compd. with 2-(diethylamino)ethyl 4-aminobenzoate, hydrate (1:1:1)",,,Not applicable (ionic/extreme),C29H40N4O7S,588.7
23422,771.7,770.2948159,85.6,990,0,8,13,2,52,0,2,2,0,0,0,0,8,,,,,,,,,,,0,(+)-Tubocurarine chloride pentahydrate,,,Not applicable (ionic/extreme),C37H52Cl2N2O11,771.7
24244,906.6,906.16018,55.4,1060,0,0,8,4,50,0,2,2,0,0,0,0,3,,,,,,,,,,,0,Metocurine Iodide,,,Not applicable (ionic/extreme),C40H48I2N2O6,906.6
24843,246.48,246.0107241,95.6,62,0,7,11,0,13,0,0,0,0,0,0,0,9,,,,,,,,,,,0,Magnesium Sulfate Heptahydrate,,,Not applicable (ionic/extreme),H14MgO11S,246.48
26757,187.28,187.1360995,3.2,195,0,0,1,4,14,0,1,1,0,0,0,0,1,166.7,3,0,0,0,1,1,1,0.6,4,10,Selegiline,2.8,PubChem XLogP,OK,C13H17N,187.28
26758,223.74,223.1127773,3.2,195,0,1,1,4,15,0,1,1,0,0,0,0,2,,,,,,,,,,,0,Selegiline Hydrochloride,,,Not applicable (ionic/extreme),C13H18ClN,223.74
27072,308.2,307.1105844,41.5,242,0,3,3,6,19,0,1,0,1,0,0,0,2,,,,,,,,,,,0,"2-Propanol, 1-(2-chloro-5-methylphenoxy)-3-((1,1-dimethylethyl)amino)-, hydrochloride (1:1)",,,Not applicable (ionic/extreme),C14H23Cl2NO2,308.2
27522,576.3,574.07903,66.8,487,0,0,6,11,32,0,0,0,0,0,0,0,3,,,,,,,,,,,0,Distigmine Bromide,,,Not applicable (ionic/extreme),C22H32Br2N4O4,576.3
27661,191.14,191.042987,93.7,216,0,1,6,1,13,0,4,4,0,0,0,0,1,129.8,8,5,1,0,0,2,0,0.6,3.2,7,Isosorbide Mononitrate,-0.4,PubChem XLogP,OK,C6H9NO6,191.14
28620,943.1,942.4824301,282,1760,0,9,19,10,66,0,26,26,0,0,0,0,1,,,,,,,,,,,0,Deslanoside,-0.3,PubChem XLogP,OK,C47H74O19,943.1
30751,365.21,365.0536629,186,514,0,5,12,4,24,0,4,4,0,0,0,0,1,241.1,17,6,3,1,4,3,0,0.8,5,10,Fludarabine Phosphate,-3.1,PubChem XLogP,OK,C10H13FN5O7P,365.21
31100,750.7,749.2094,181,1320,0,4,9,5,48,0,6,6,0,0,0,0,2,,,,,,,,,,,0,Bromocriptine Mesylate,,,Not applicable (ionic/extreme),C33H44BrN5O8S,750.7
31101,654.6,653.22128,118,1230,0,3,6,5,43,0,6,6,0,0,0,0,1,462,20,5,3,0,2,7,3,1,8,10,Bromocriptine,3.8,PubChem XLogP,OK,C32H40BrN5O5,654.6
31477,309.4,309.1940083,67.8,348,0,2,5,8,22,0,1,0,1,0,0,0,1,250.5,8,3,2,0,1,1,1,0.8,8,10,Metipranolol,2.7,PubChem XLogP,OK,C17H27NO4,309.4
31640,352.7,352.0590252,32.7,503,0,0,5,2,24,0,0,0,0,0,0,0,1,250.6,5,2,0,0,0,3,0,0.6,3.4,6,Halazepam,4,PubChem XLogP,OK,C17H12ClF3N2O,352.7
31703,543.5,543.1740607,206,977,0,6,12,5,39,0,6,6,0,0,0,0,1,385.7,21,9,6,0,1,5,0,1,7,10,Doxorubicin,1.3,PubChem XLogP,OK,C27H29NO11,543.5
33032,147.13,147.0531578,101,145,0,3,5,4,10,0,1,1,0,0,0,0,1,108.5,8,4,1,2,1,0,0,0.6,4,10,L-Glutamic Acid,-3.7,PubChem XLogP,OK,C5H9NO4,147.13
33572,287.35,287.1521435,72.7,284,0,4,4,6,21,0,2,2,0,0,0,0,1,232.1,8,1,4,0,1,2,0,0.8,6,10,Ritodrine,2.3,PubChem XLogP,OK,C17H21NO3,287.35
33630,524,523.170133,23.5,647,0,1,7,7,36,0,0,0,0,0,0,0,1,386.4,7,1,1,0,1,4,0,1,9.2,10,Penfluridol,7.3,PubChem XLogP,OK,C28H27ClF5NO,524
34312,252.27,252.0898776,63.4,382,0,1,2,0,19,0,0,0,0,0,0,0,1,194.9,6,2,1,0,0,3,0,0.6,1.4,8,Oxcarbazepine,1.7,PubChem XLogP,OK,C15H12N2O2,252.27
34521,207.23,207.0895433,49.8,244,0,1,3,2,15,0,1,0,1,0,0,0,1,160.9,5,2,1,0,0,2,0,0.6,2.8,10,Toloxatone,1.2,PubChem XLogP,OK,C11H13NO3,207.23
34632,464,463.1332552,96.4,601,0,2,6,6,31,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Ethmozine,,,Not applicable (ionic/extreme),C22H26ClN3O4S,464
34633,427.5,427.1565775,96.4,601,0,1,6,6,30,0,0,0,0,0,0,0,1,326.6,9,3,1,0,1,4,0,1,9.6,10,Moricizine,3,PubChem XLogP,OK,C22H25N3O4S,427.5
35329,557.7,557.2083383,148,751,0,3,9,10,39,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Bitolterol Mesylate,,,Not applicable (ionic/extreme),C29H35NO8S,557.7
36462,588.6,588.1842911,161,969,0,3,13,5,42,0,10,10,0,0,0,0,1,418,21,11,3,0,0,7,0,1,8,6,Etoposide,0.6,PubChem XLogP,OK,C29H32O13,588.6
36708,377.9,377.1757714,58.6,368,0,3,4,11,26,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Propafenone Hydrochloride,,,Not applicable (ionic/extreme),C21H28ClNO3,377.9
36811,301.4,301.1677936,72.7,305,0,4,4,7,22,0,1,0,1,0,0,0,1,244.4,7,0,4,0,1,2,0,0.8,7,10,Dobutamine,3.4,PubChem XLogP,OK,C18H23NO3,301.4
37274,325.79,325.1305526,81.4,397,0,2,6,6,22,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Etazolate Hydrochloride,,,Not applicable (ionic/extreme),C14H20ClN5O2,325.79
37542,244.2,244.0807695,144,304,0,4,7,3,17,0,4,4,0,0,0,0,1,169.5,13,5,4,0,2,2,0,0.6,4,10,Ribavirin,-1.8,PubChem XLogP,OK,C8H12N4O5,244.2
38911,268.35,268.1786926,86.8,335,0,3,4,2,19,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Ciclopirox Olamine,,,Not applicable (ionic/extreme),C14H24N2O3,268.35
38945,192.26,192.1262631,55.1,195,0,2,2,2,14,0,1,0,1,0,0,0,1,159.1,5,1,2,0,1,1,0,0.6,3,5,Tocainide,0.8,PubChem XLogP,OK,C11H16N2O,192.26
39147,309.4,309.1940083,82,344,0,4,5,6,22,0,3,2,1,0,0,0,1,244.5,12,4,4,0,1,2,1,0.8,6.8,10,Nadolol,0.7,PubChem XLogP,OK,C17H27NO4,309.4
39859,576.7,576.2716668,228,309,0,10,12,10,39,0,2,0,2,0,0,0,3,,,,,,,,,,,0,Albuterol Sulfate,,,Not applicable (ionic/extreme),C26H44N2O10S,576.7
40973,310.5,310.2296656,20.2,605,0,1,1,2,23,0,6,6,0,0,0,0,1,255.5,8,1,1,0,0,4,2,0.6,2.8,1,Desogestrel,4.9,PubChem XLogP,OK,C22H30O,310.5
41022,474.4,474.1589408,96.9,531,0,3,12,7,32,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Flecainide Acetate,,,Not applicable (ionic/extreme),C19H24F6N2O5,474.4
41114,516,515.1823134,114,856,0,2,8,10,36,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Nicardipine Hydrochloride,,,Not applicable (ionic/extreme),C26H30ClN3O6,516
41693,386.6,386.2027994,61,459,0,0,4,8,27,0,0,0,0,0,0,0,1,309.7,7,2,0,0,1,3,1,1,10.2,10,Sufentanil,4,PubChem XLogP,OK,C22H30N2O2S,386.6
41774,645.6,645.2480135,321,962,0,14,19,9,44,0,19,18,1,0,0,0,1,441.4,37,18,14,0,1,4,0,1.2,13.4,10,"(3R,4R,5S,6R)-5-(((2R,3R,4R,5S,6R)-5-(((2R,3R,4S,5S,6R)-3,4-dihydroxy-6-methyl-5-(((1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl)amino)oxan-2-yl)oxy)-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy)-6-(hydroxymethyl)oxane-2,3,4-triol",-8.5,PubChem XLogP,OK,C25H43NO18,645.6
42113,168.04,168.0009837,9.2,97,0,0,7,2,10,0,1,0,1,0,0,0,1,94.5,1,1,0,0,0,0,0,0.6,3,6,Desflurane,2.6,PubChem XLogP,OK,C3H2F6O,168.04
43815,329.4,329.1427217,39.7,402,0,1,5,4,24,0,2,2,0,0,0,0,1,252.1,9,3,1,0,1,4,0,0.8,5.8,10,Paroxetine,3.5,PubChem XLogP,OK,C19H20FNO3,329.4
44093,217.29,217.0772645,58.6,244,0,2,4,3,14,0,2,2,0,0,0,0,1,163.7,6,3,0,1,0,1,1,0.6,5,10,Captopril,0.3,PubChem XLogP,OK,C9H15NO3S,217.29
44561,191.95,191.9176429,103,103,0,0,5,0,10,0,0,0,0,0,0,0,4,,,,,,,,,,,0,Foscarnet Sodium,,,Not applicable (ionic/extreme),CNa3O5P,191.95
44571,310.19,309.03644,34.4,283,0,1,3,2,18,0,0,0,0,0,0,0,1,206.8,8,2,1,0,1,3,1,0.6,3.2,10,Brofaromine,3.1,PubChem XLogP,OK,C14H16BrNO2,310.19
47576,531.4,530.1487608,69.1,735,0,0,6,7,36,0,2,2,0,0,0,0,1,390.3,11,4,0,0,2,5,0,1,10.2,10,Ketoconazole,4.3,PubChem XLogP,OK,C26H28Cl2N4O4,531.4
48040,388.9,388.1917559,41.6,434,0,2,3,6,27,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Encainide Hydrochloride,,,Not applicable (ionic/extreme),C22H29ClN2O2,388.9
50294,371.3,371.1005019,121,753,0,2,8,5,27,0,0,0,0,0,0,0,1,272.9,14,7,0,2,1,3,1,0.8,5,3,Nedocromil,2.2,PubChem XLogP,OK,C19H17NO7,371.3
50963,288.8,288.0923934,114,296,0,4,4,7,18,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Cimetidine Hydrochloride,,,Not applicable (ionic/extreme),C10H17ClN6S,288.8
51082,517.4,516.1542401,163,571,0,10,10,12,34,0,0,0,0,0,0,0,3,,,,,,,,,,,0,Mitoxantrone Hydrochloride,,,Not applicable (ionic/extreme),C22H30Cl2N4O6,517.4
52542,338.4,338.1266571,71.8,495,0,0,5,6,25,0,1,0,1,0,0,0,1,264.4,7,4,0,0,0,3,0,0.8,6.8,10,Cimoxatone,2.6,PubChem XLogP,OK,C19H18N2O4,338.4
53232,404.5,404.2562742,72.8,666,0,1,5,7,29,0,8,8,0,0,0,0,1,320.6,9,3,1,0,0,3,2,1,9,10,Lovastatin,4.3,PubChem XLogP,OK,C24H36O5,404.5
53359,357.3,357.064649,81.9,486,0,1,7,4,24,0,0,0,0,0,0,0,1,258,7,4,0,1,0,2,0,0.8,6,10,Tolrestat,3.7,PubChem XLogP,OK,C16H14F3NO3S,357.3
54343,353.8,353.0488569,91.9,475,0,2,5,7,23,0,0,0,0,0,0,0,1,259.2,8,4,1,1,0,2,0,0.8,7,10,Daltroban,2.9,PubChem XLogP,OK,C16H16ClNO4S,353.8
54384,457,456.1979841,64.3,681,0,2,5,4,32,0,2,2,0,0,0,0,2,,,,,,,,,,,0,Levocabastine hydrochloride,,,Not applicable (ionic/extreme),C26H30ClFN2O2,457
54405,442.22,441.0284,177,442,0,6,9,5,27,0,2,2,0,0,0,0,2,,,,,,,,,,,0,Brimonidine Tartrate,,,Not applicable (ionic/extreme),C15H16BrN5O6,442.22
54454,418.6,418.2719243,72.8,706,0,1,5,7,30,0,7,7,0,0,0,0,1,332.3,9,3,1,0,0,3,2,1,9,10,Simvastatin,4.7,PubChem XLogP,OK,C25H38O5,418.6
54746,451.6,451.2947254,71.7,713,0,2,4,8,33,0,3,3,0,0,0,0,1,358.7,12,2,2,0,3,4,1,1.2,12,10,Cabergoline,3.4,PubChem XLogP,OK,C26H37N5O2,451.6
54889,535,534.2132792,114,742,0,3,8,12,37,0,3,3,0,0,0,0,2,,,,,,,,,,,0,Moexipril Hydrochloride,,,Not applicable (ionic/extreme),C27H35ClN2O7,535
54891,475,474.1921498,95.9,648,0,3,6,10,33,0,3,3,0,0,0,0,2,,,,,,,,,,,0,Quinapril Hydrochloride,,,Not applicable (ionic/extreme),C25H31ClN2O5,475
54892,438.5,438.2154721,95.9,648,0,2,6,10,32,0,3,3,0,0,0,0,1,344.9,10,4,1,1,1,3,0,1.2,11.8,10,Quinapril,1.2,PubChem XLogP,OK,C25H30N2O5,438.5
54900,510,509.1427572,98.2,655,0,3,6,7,35,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Raloxifene Hydrochloride,,,Not applicable (ionic/extreme),C28H28ClNO4S,510
55245,429.6,429.2667794,40.5,921,0,1,3,3,32,0,5,5,0,0,0,0,1,350,10,2,1,0,1,5,1,0.8,3.8,1,Mifepristone,3.8,PubChem XLogP,OK,C29H35NO2,429.6
56329,435.5,435.2369358,100,608,0,3,8,9,31,0,3,3,0,0,0,0,2,,,,,,,,,,,0,Cilazapril Monohydrate,,,Not applicable (ionic/extreme),C22H33N3O6,435.5
56801,603.7,603.3196028,139,629,0,6,8,17,44,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Salmeterol Xinafoate,,,Not applicable (ionic/extreme),C36H45NO7,603.7
59694,259.73,259.0876252,41.6,311,0,1,2,1,18,0,1,0,1,0,0,0,2,,,,,,,,,,,0,"Benzonitrile, 4-(5,6,7,8-tetrahydroimidazo(1,5-a)pyridin-5-yl)-, hydrochloride (1:1)",,,Not applicable (ionic/extreme),C14H14ClN3,259.73
59772,413.5,413.1620568,148,498,0,4,8,9,28,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Sumatriptan Succinate,,,Not applicable (ionic/extreme),C18H27N3O6S,413.5
