CID,MolecularWeight,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Title,XLogP,XLogP_Source,Status,Formula,MW
3100,255.35,255.1623143,12.5,211,0,0,2,6,19,0,0,0,0,0,0,0,1,215.8,4,1,0,0,1,2,0,0.8,6,10,Diphenhydramine,3.3,PubChem XLogP,OK,C17H21NO,255.35
3105,351.4,351.204573,84.9,463,0,2,6,9,25,0,1,0,1,0,0,0,1,278.5,9,3,2,0,1,1,2,1,9,10,Dipivefrin,2.9,PubChem XLogP,OK,C19H29NO5,351.4
3114,339.5,339.2310626,59.2,409,0,1,3,8,25,0,1,0,1,0,0,0,1,271.9,8,2,1,0,1,2,2,0.8,8,6,Disopyramide,3.2,PubChem XLogP,OK,C21H29N3O,339.5
3117,296.5,296.0509333,121,201,0,0,4,7,16,0,0,0,0,0,0,0,1,225,2,2,0,0,0,0,0,0.8,9,10,Disulfiram,3.9,PubChem XLogP,OK,C10H20N2S4,296.5
3151,425.9,425.1618527,67.9,655,0,2,3,5,30,0,0,0,0,0,0,0,1,321,10,2,2,0,1,5,0,0.8,6.2,10,Domperidone,3.9,PubChem XLogP,OK,C22H24ClN5O2,425.9
3182,254.24,254.1015049,98.9,364,0,2,5,3,18,0,1,0,1,0,0,0,1,184.7,9,4,2,0,1,2,0,0.6,3,10,Diprophylline,-1.8,PubChem XLogP,OK,C10H14N4O4,254.24
3226,184.49,183.9714332,9.2,107,0,0,6,3,10,0,1,0,1,0,0,0,1,103.4,1,1,0,0,0,0,0,0.6,3,10,Enflurane,2.1,PubChem XLogP,OK,C3H2ClF5O,184.49
3284,167.2,167.0946287,52.3,220,0,1,2,3,12,0,0,0,0,0,0,0,1,131.5,4,1,1,0,0,1,1,0.6,3.2,9,Ethinamate,1.3,PubChem XLogP,OK,C9H13NO2,167.2
3291,141.17,141.0789786,46.2,188,0,1,2,1,10,0,1,0,1,0,0,0,1,112.4,5,2,1,0,0,1,1,0.4,1.6,6,Ethosuximide,0.4,PubChem XLogP,OK,C7H11NO2,141.17
3292,204.22,204.0898776,49.4,272,0,1,2,2,15,0,1,0,1,0,0,0,1,161.4,5,2,1,0,0,2,0,0.6,2.6,4,Ethotoin,1,PubChem XLogP,OK,C11H12N2O2,204.22
3295,258.3,258.0132845,119,341,0,1,6,3,16,0,0,0,0,0,0,0,1,181.8,7,4,1,0,0,2,0,0.6,3,8,Ethoxzolamide,2,PubChem XLogP,OK,C9H10N2O3S2,258.3
3308,287.35,287.1521435,62.3,399,0,2,3,4,21,0,1,0,1,0,0,0,1,225.4,11,3,1,1,1,3,2,0.8,4.8,10,Etodolac,2.8,PubChem XLogP,OK,C17H21NO3,287.35
3324,321.33,321.1437041,122,404,0,1,8,9,23,0,0,0,0,0,0,0,1,239.4,7,2,1,0,2,2,0,1,9,10,Famciclovir,0,PubChem XLogP,OK,C14H19N5O4,321.33
3331,238.24,238.0953569,105,246,0,2,4,7,17,0,0,0,0,0,0,0,1,180.9,5,2,2,0,0,1,0,0.8,7,10,Felbamate,0.6,PubChem XLogP,OK,C11H14N2O4,238.24
