Split Mode,Feature Set,Classifier,Split,Rows,Positives,Negatives,Features,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate,False Positives,False Negatives,True Positives,True Negatives
target_held_out,all_features_minus_affinity_group,Random Forest,validation,1066,528,538,1654,0.6407129455909943,0.6374162160639856,0.9617834394904459,0.2859848484848485,0.4408759124087591,0.8776050467500282,0.8788325341573846,0.011152416356877323,0.7140151515151515,6,377,151,532
target_held_out,all_features_minus_affinity_group,Random Forest,test,1135,588,547,1654,0.6246696035242291,0.6372452088696539,0.9550561797752809,0.2891156462585034,0.44386422976501305,0.9043639393600219,0.899501120037936,0.014625228519195612,0.7108843537414966,8,418,170,539
target_held_out,all_features_minus_affinity_group,Extra Trees,train,3237,1603,1634,1654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1603,1634
target_held_out,all_features_minus_affinity_group,Extra Trees,validation,1066,528,538,1654,0.7063789868667918,0.7037040948518644,0.973568281938326,0.4185606060606061,0.5854304635761589,0.9074293117044047,0.9116279887462957,0.011152416356877323,0.5814393939393939,6,307,221,532
target_held_out,all_features_minus_affinity_group,Extra Trees,test,1135,588,547,1654,0.718942731277533,0.7279766568418958,0.9590443686006825,0.477891156462585,0.637911464245176,0.9136228531632031,0.9195049465828183,0.021937842778793418,0.5221088435374149,12,307,281,535
target_held_out,all_features_minus_affinity_group,Hist Gradient Boosting,train,3237,1603,1634,1654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1603,1634
target_held_out,all_features_minus_affinity_group,Hist Gradient Boosting,validation,1066,528,538,1654,0.7307692307692307,0.728659738650445,0.9140893470790378,0.5037878787878788,0.6495726495726496,0.8764679790469754,0.8856178398134507,0.046468401486988845,0.4962121212121212,25,262,266,513
target_held_out,all_features_minus_affinity_group,Hist Gradient Boosting,test,1135,588,547,1654,0.7409691629955947,0.7476417440833738,0.8994565217391305,0.5629251700680272,0.6924686192468619,0.89077093360196,0.8997407185519704,0.06764168190127971,0.4370748299319728,37,257,331,510
target_held_out,all_features_minus_affinity_group,SVM,train,3237,1603,1634,1654,0.9471733086190918,0.9471655043977365,0.9469413233458177,0.9463505926388023,0.9466458658346334,0.9879717955394223,0.9817341110509311,0.052019583843329255,0.053649407361197755,85,86,1517,1549
target_held_out,all_features_minus_affinity_group,SVM,validation,1066,528,538,1654,0.8283302063789869,0.8278310521572603,0.864693446088795,0.7746212121212122,0.8171828171828172,0.892179227216402,0.8977010321245052,0.11895910780669144,0.22537878787878787,64,119,409,474
