pubchem_cid,ligand_title,ranked_uniprots,score_threshold,predicted_targets_at_threshold,expected_supported_targets_at_threshold,known_yamanishi_targets_in_affinity_file,known_yamanishi_targets_recovered_at_threshold,known_yamanishi_targets_missed_at_threshold,top_target_likelihood
23681059,Naproxen Sodium,7621,0.8,0,0,2,0,2,0.0676414577818548
23683779,Alrestatin Sodium,7623,0.8,0,0,1,0,1,0.023683407903373345
23706210,Tranxilium,7406,0.8,0,0,1,0,1,0.07255527620445995
23724775,Atropine sulfate and diphenoxylate hydrochloride,7066,0.8,0,0,1,0,1,0.040739162170022616
23724780,Clemastinefumarate,7381,0.8,0,0,1,0,1,0.033871459448261615
23724898,Chlorpromazine phenolphthalinate,7206,0.8,0,0,4,0,4,0.07247378838469294
2375,Bicalutamide,7211,0.8,0,0,1,0,1,0.07255527620445995
2381,Biperiden,7532,0.8,0,0,3,0,3,0.0910432931708281
2405,Bisoprolol,7471,0.8,0,0,3,0,3,0.06071167347050518
24244,Metocurine Iodide,7054,0.8,0,0,1,0,1,0.03236994405796897
243,Benzoic Acid,7544,0.8,0,0,2,0,2,0.05793216821675452
247839,Medrysone,7532,0.8,0,0,1,0,1,0.03286946325203262
2479,Butabarbital,7541,0.8,0,0,1,0,1,0.07255527620445995
2482,Butyl 4-aminobenzoate,7541,0.8,0,0,1,0,1,0.027059614057525067
2519,Caffeine,7544,0.8,0,0,64,0,64,0.12757534030168063
2520,Verapamil,7454,0.8,0,0,56,0,56,0.10062592553702455
2541,Candesartan,7281,0.8,0,0,1,0,1,0.07255527620445995
2554,Carbamazepine,7475,0.8,0,0,9,0,9,0.059049293932896416
2585,Carvedilol,7454,0.8,0,0,4,0,4,0.07184146706744048
259331,Estramustine,7386,0.8,0,0,2,0,2,0.06855168696825249
2662,Celecoxib,7225,0.8,0,0,3,0,3,0.07255527620445995
26757,Selegiline,7582,0.8,0,0,1,0,1,0.023837807025840294
26758,Selegiline Hydrochloride,7581,0.8,0,0,2,0,2,0.0676414577818548
27072,"2-Propanol, 1-(2-chloro-5-methylphenoxy)-3-((1,1-dimethylethyl)amino)-, hydrochloride (1:1)",7407,0.8,0,0,5,0,5,0.06071167347050518
2720,Chlorothiazide,7331,0.8,0,0,12,0,12,0.07467848655943192
2724385,Digoxin,7424,0.8,0,0,1,0,1,0.030257981016197907
2726,Chlorpromazine,7474,0.8,0,0,10,0,10,0.06105040635445202
2733,Chlorzoxazone,7482,0.8,0,0,4,0,4,0.06736842339620086
27522,Distigmine Bromide,7525,0.8,0,0,1,0,1,0.06660887018361682
2756,Cimetidine,7475,0.8,0,0,1,0,1,0.02007083071157306
2764,Ciprofloxacin,7318,0.8,0,0,2,0,2,0.05793216821675452
27661,Isosorbide Mononitrate,7542,0.8,0,0,0,0,0,0.07255527620445995
2769,Cisapride (USP/INN),7280,0.8,0,0,6,0,6,0.07702223797892814
2789,Clobazam,7474,0.8,0,0,0,0,0,0.0676414577818548
2796,Clofibrate,7542,0.8,0,0,3,0,3,0.07255527620445995
2803,Clonidine,7477,0.8,0,0,3,0,3,0.06736842339620086
28620,Deslanoside,7276,0.8,0,0,2,0,2,0.05793216821675452
2910,Cyclothiazide,7309,0.8,0,0,1,0,1,0.07255527620445995
2973,Deferoxamine,7319,0.8,0,0,1,0,1,0.01987588018294773
3001055,Ranitidine,7407,0.8,0,0,1,0,1,0.019832439580952058
3016,Diazepam,7410,0.8,0,0,13,0,13,0.06855168696825249
3019,Diazoxide,7344,0.8,0,0,33,0,33,0.0910432931708281
3025,Dibucaine,7396,0.8,0,0,2,0,2,0.05393188280442803
3032285,Thiamylal,7475,0.8,0,0,1,0,1,0.06177329442624428
3033053,Dezocine,7534,0.8,0,0,2,0,2,0.07255527620445995
3033332,Ranitidine Hydrochloride,7237,0.8,0,0,1,0,1,0.01794212731214216
3033637,Nizax,7306,0.8,0,0,1,0,1,0.019633732531150604
3033702,Spiraprilat,7286,0.8,0,0,1,0,1,0.07255527620445995
3033824,Celgosivir Hydrochloride,7442,0.8,0,0,2,0,2,0.06736842339620086
3038,Dichlorphenamide,7410,0.8,0,0,11,0,11,0.059049293932896416
3038222,Dobutamine Lactobionate,7332,0.8,0,0,2,0,2,0.07255527620445995
3052775,Rasagiline Mesylate,7409,0.8,0,0,2,0,2,0.06855168696825249
3055,Diphenidol,7532,0.8,0,0,3,0,3,0.0910432931708281
3058754,Deracoxib,7219,0.8,0,0,36,0,36,0.09364258058869139
3059,Diflunisal,7475,0.8,0,0,2,0,2,0.06736842339620086
30751,Fludarabine Phosphate,7212,0.8,0,0,1,0,1,0.056571686165430055
3086651,Zankiren Hydrochloride,6975,0.8,0,0,1,0,1,0.023644362700701457
3100,Diphenhydramine,7539,0.8,0,0,3,0,3,0.07255527620445995
3105,Dipivefrin,7464,0.8,0,0,1,0,1,0.02116869393583212
311,Citric Acid,7541,0.8,0,0,10,0,10,0.08342236678855543
31100,Bromocriptine Mesylate,7090,0.8,0,0,1,0,1,0.02785888570296299
31101,Bromocriptine,7226,0.8,0,0,1,0,1,0.028157996855052474
3114,Disopyramide,7386,0.8,0,0,6,0,6,0.06242608165225811
3117,Disulfiram,7542,0.8,0,0,10,0,10,0.07336503603357519
31477,Metipranolol,7472,0.8,0,0,2,0,2,0.07255527620445995
3151,Domperidone,7384,0.8,0,0,1,0,1,0.033216996706581674
31640,Halazepam,7319,0.8,0,0,1,0,1,0.07255527620445995
31703,Doxorubicin,7418,0.8,0,0,2,0,2,0.06071167347050518
3182,Diprophylline,7475,0.8,0,0,10,0,10,0.05793216821675452
3226,Enflurane,7543,0.8,0,0,4,0,4,0.08966421296615844
3284,Ethinamate,7544,0.8,0,0,2,0,2,0.07255527620445995
3291,Ethosuximide,7544,0.8,0,0,2,0,2,0.07255527620445995
3292,Ethotoin,7478,0.8,0,0,0,0,0,0.030387278264560308
3295,Ethoxzolamide,7412,0.8,0,0,1,0,1,0.05393188280442803
33032,L-Glutamic Acid,7479,0.8,0,0,1,0,1,0.0677761335457796
3308,Etodolac,7472,0.8,0,0,2,0,2,0.05379020911064054
3324,Famciclovir,7397,0.8,0,0,1,0,1,0.05842278824611618
3331,Felbamate,7534,0.8,0,0,4,0,4,0.07255527620445995
3333,Felodipine,7464,0.8,0,0,3,0,3,0.050087434230014195
3339,Fenofibrate,7532,0.8,0,0,1,0,1,0.0676414577818548
3342,Fenoprofen,7534,0.8,0,0,2,0,2,0.06736842339620086
33572,Ritodrine,7532,0.8,0,0,1,0,1,0.07913350476912284
33630,Penfluridol,7365,0.8,0,0,0,0,0,0.07913350476912284
3365,Fluconazole,7403,0.8,0,0,2,0,2,0.06736842339620086
3373,Flumazenil,7407,0.8,0,0,1,0,1,0.06687822727164183
338,Salicylic Acid,7544,0.8,0,0,7,0,7,0.06855168696825249
3385,5-Fluorouracil,7544,0.8,0,0,5,0,5,0.0628697631947281
3386,Fluoxetine,7472,0.8,0,0,1,0,1,0.07255527620445995
3393,Flurazepam,7313,0.8,0,0,7,0,7,0.07336503603357519
3394,Flurbiprofen,7476,0.8,0,0,2,0,2,0.07255527620445995
3395,Flurbiprofen Axetil,7530,0.8,0,0,1,0,1,0.028133546365568175
3397,Flutamide,7410,0.8,0,0,1,0,1,0.05793216821675452
34312,Oxcarbazepine,7474,0.8,0,0,1,0,1,0.05793216821675452
3440,Furosemide,7319,0.8,0,0,3,0,3,0.07255527620445995
3446,Gabapentin,7479,0.8,0,0,36,0,36,0.1069957343024076
34521,Toloxatone,7478,0.8,0,0,2,0,2,0.07255527620445995
34632,Ethmozine,6938,0.8,0,0,0,0,0,0.057045244914471514
34633,Moricizine,7385,0.8,0,0,0,0,0,0.02663066413611529
3475,Gliclazide,7402,0.8,0,0,2,0,2,0.07255527620445995
3476,"1H-Pyrrole-1-carboxamide, 3-ethyl-2,5-dihydro-4-methyl-N-2-4-(trans-4-methylcyclohexyl)aminocarbonylaminosulfonylphenylethyl-2-oxo-",7363,0.8,0,0,1,0,1,0.0676414577818548
3478,Glipizide,7381,0.8,0,0,1,0,1,0.06855168696825249
3488,Glibenclamide,7370,0.8,0,0,1,0,1,0.08352987713867135
35329,Bitolterol Mesylate,7344,0.8,0,0,1,0,1,0.07255527620445995
3559,Haloperidol,7312,0.8,0,0,11,0,11,0.07271463863573083
3562,Halothane,7545,0.8,0,0,46,0,46,0.1069957343024076
358641,Sulfamethoxazole-trimethoprim mixt.,7231,0.8,0,0,1,0,1,0.07255527620445995
3608,Hexobarbital,7475,0.8,0,0,28,0,28,0.0999276977258147
3639,Hydrochlorothiazide,7409,0.8,0,0,12,0,12,0.06242608165225811
36462,Etoposide,7494,0.8,0,0,2,0,2,0.06660887018361682
3647,Hydroflumethiazide,7319,0.8,0,0,4,0,4,0.07255527620445995
36708,Propafenone Hydrochloride,7071,0.8,0,0,0,0,0,0.05233929279635129
3672,"Ibuprofen, (+-)-",7541,0.8,0,0,7,0,7,0.07255527620445995
3673,Ibuprofen Piconol,7532,0.8,0,0,2,0,2,0.07913350476912284
3676,Lidocaine,7477,0.8,0,0,0,0,0,0.06660887018361682
36811,Dobutamine,7532,0.8,0,0,2,0,2,0.0910432931708281
3698,Amrinone,7478,0.8,0,0,13,0,13,0.0910432931708281
3702,Indapamide,7312,0.8,0,0,2,0,2,0.0754345178013187
3715,Indomethacin,7394,0.8,0,0,6,0,6,0.07154602944788707
37274,Etazolate Hydrochloride,7032,0.8,0,0,11,0,11,0.1251261634208596
3748,Iproniazid,7417,0.8,0,0,2,0,2,0.06324547657292665
3749,Irbesartan,7381,0.8,0,0,1,0,1,0.1069957343024076
37542,Ribavirin,7409,0.8,0,0,3,0,3,0.057589534304276296
3759,Isocarboxazid,7410,0.8,0,0,2,0,2,0.06855168696825249
3762,Isoetharine,7534,0.8,0,0,1,0,1,0.025768906879956716
3763,Isoflurane,7544,0.8,0,0,9,0,9,0.0676414577818548
3784,Isradipine,7460,0.8,0,0,4,0,4,0.05842278824611618
3825,Ketoprofen,7534,0.8,0,0,7,0,7,0.08450786617493738
3878,Lamotrigine,7475,0.8,0,0,0,0,0,0.07172435782667323
38945,Tocainide,7541,0.8,0,0,1,0,1,0.033037236583107726
3899,Leflunomide,7409,0.8,0,0,1,0,1,0.021475983361712313
3902,Letrozole,7534,0.8,0,0,17,0,17,0.1251261634208596
39147,Nadolol,7464,0.8,0,0,2,0,2,0.0910432931708281
3957,Loratadine,7392,0.8,0,0,2,0,2,0.0628697631947281
3964,Loxapine,7406,0.8,0,0,3,0,3,0.06071167347050518
4011,Maprotiline,7581,0.8,0,0,3,0,3,0.08450786617493738
4020,Mazindol,7409,0.8,0,0,0,0,0,0.05842278824611618
4037,Meclofenamic Acid,7409,0.8,0,0,2,0,2,0.07255527620445995
4044,Mefenamic Acid,7475,0.8,0,0,2,0,2,0.06660887018361682
4055,Menadione,7582,0.8,0,0,7,0,7,0.0676414577818548
4066,Mequitazine,7532,0.8,0,0,1,0,1,0.07255527620445995
4075,5-Aminosalicylic Acid,7478,0.8,0,0,4,0,4,0.07255527620445995
4078,Mesoridazine,7466,0.8,0,0,5,0,5,0.06658049587043419
4091,Metformin,7479,0.8,0,0,0,0,0,0.07255527620445995
40973,Desogestrel,7581,0.8,0,0,2,0,2,0.07255527620445995
4100,Methazolamide,7342,0.8,0,0,11,0,11,0.07255527620445995
41022,Flecainide Acetate,7374,0.8,0,0,1,0,1,0.05842278824611618
4114,8-Methoxypsoralen,7582,0.8,0,0,26,0,26,0.13008394888721558
4116,Methoxyflurane,7545,0.8,0,0,4,0,4,0.0676414577818548
4121,Methyclothiazide,7328,0.8,0,0,4,0,4,0.0676414577818548
4158,Methylphenidate,7539,0.8,0,0,0,0,0,0.07913350476912284
4168,Metoclopramide,7406,0.8,0,0,21,0,21,0.0628697631947281
41693,Sufentanil,7461,0.8,0,0,1,0,1,0.07255527620445995
4171,Metoprolol,7475,0.8,0,0,1,0,1,0.02161522731686713
4174,Metyrapone,7541,0.8,0,0,26,0,26,0.13936963626272764
41774,"(3R,4R,5S,6R)-5-(((2R,3R,4R,5S,6R)-5-(((2R,3R,4S,5S,6R)-3,4-dihydroxy-6-methyl-5-(((1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl)amino)oxan-2-yl)oxy)-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy)-6-(hydroxymethyl)oxane-2,3,4-triol",7340,0.8,0,0,3,0,3,0.0676414577818548
4189,Miconazole,7399,0.8,0,0,2,0,2,0.0634825846963546
4192,Midazolam,7406,0.8,0,0,8,0,8,0.05955706347486571
4197,Milrinone,7478,0.8,0,0,30,0,30,0.045790686896371204
4201,Minoxidil,7336,0.8,0,0,1,0,1,0.07255527620445995
4205,Mirtazapine,7535,0.8,0,0,7,0,7,0.07255527620445995
42113,Desflurane,7528,0.8,0,0,3,0,3,0.0628697631947281
4235,Moclobemide,7411,0.8,0,0,2,0,2,0.06855168696825249
4237,Mofezolac,7466,0.8,0,0,2,0,2,0.07255527620445995
43815,Paroxetine,7469,0.8,0,0,1,0,1,0.05946614398310119
439693,Pentostatin,7327,0.8,0,0,1,0,1,0.0644004638553752
4409,Nabumetone,7582,0.8,0,0,2,0,2,0.07255527620445995
44093,Captopril,7417,0.8,0,0,1,0,1,0.05793216821675452
441278,Pentazocine,7533,0.8,0,0,1,0,1,0.07255527620445995
441313,Perindopril Erbumine,5827,0.8,0,0,1,0,1,0.0562095397393144
441314,Miglitol,7582,0.8,0,0,3,0,3,0.06855168696825249
441325,Amiodarone Hydrochloride,7382,0.8,0,0,0,0,0,0.017207899046637744
441336,Mometasone Furoate,7448,0.8,0,0,1,0,1,0.02104631293837885
441348,Chloroprocaine Hydrochloride,7409,0.8,0,0,0,0,0,0.05438508905356978
441350,Metyrosine,7478,0.8,0,0,1,0,1,0.07255527620445995
441351,Rocuronium Bromide,7622,0.8,0,0,2,0,2,0.07255527620445995
