Feature Set,Classifier,Train Rows,Test Rows,Features,CV PR AUC,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
maccs_plus_target,Linear SGD tuned,5816,1454,169,nan,0.5990371389270976,0.6022727272727273,0.5832187070151307,0.5925925925925926,0.6226375468517338,0.6103233439754696,0.38514442916093533,0.4167812929848693
maccs_plus_target,Random Forest tuned,5816,1454,169,nan,0.7792297111416782,0.7891737891737892,0.7620357634112792,0.7753673897830651,0.84596020275141,0.8592621005294285,0.20357634112792297,0.23796423658872076
maccs_plus_target,Extra Trees tuned,5816,1454,169,nan,0.7469050894085282,0.7469050894085282,0.7469050894085282,0.7469050894085282,0.8021574975072323,0.8088148752753458,0.2530949105914718,0.2530949105914718
maccs_plus_target,Gradient Boosting tuned,5816,1454,169,nan,0.7090784044016506,0.7248520710059172,0.6740027510316369,0.6985032074126871,0.7742725564727764,0.7921693489106829,0.2558459422283356,0.32599724896836313
maccs_plus_target,Hist Gradient Boosting tuned,5816,1454,169,nan,0.8005502063273727,0.8227474150664698,0.7661623108665749,0.7934472934472935,0.8767579451647876,0.8838990960202127,0.16506189821182943,0.23383768913342504
maccs_plus_target,AdaBoost tuned,5816,1454,169,nan,0.6162310866574966,0.6095979247730221,0.6464924346629987,0.6275033377837116,0.6639493764769767,0.660171606281778,0.4140302613480055,0.3535075653370014
pubchem_plus_maccs_plus_target,Logistic L2 tuned,5816,1454,199,nan,0.6299862448418156,0.6285714285714286,0.6354883081155434,0.6320109439124487,0.6905089408528198,0.6762337641676212,0.37551581843191195,0.36451169188445665
pubchem_plus_maccs_plus_target,Linear SGD tuned,5816,1454,199,nan,0.5900962861072903,0.5867549668874172,0.609353507565337,0.5978407557354926,0.6230935293995219,0.5969703221528038,0.42916093535075656,0.390646492434663
pubchem_plus_maccs_plus_target,Random Forest tuned,5816,1454,199,nan,0.7778541953232462,0.791907514450867,0.7537826685006878,0.7723749119097957,0.8365066060708116,0.8531296461008147,0.19807427785419532,0.24621733149931224
pubchem_plus_maccs_plus_target,Extra Trees tuned,5816,1454,199,nan,0.7420907840440165,0.7424242424242424,0.7414030261348006,0.741913282863042,0.7935827551562923,0.8055415408549693,0.25722145804676755,0.2585969738651995
pubchem_plus_maccs_plus_target,Gradient Boosting tuned,5816,1454,199,nan,0.7104539202200826,0.7173295454545454,0.6946354883081155,0.705800139762404,0.7797642135057868,0.7907849843481112,0.2737276478679505,0.30536451169188444
pubchem_plus_maccs_plus_target,Hist Gradient Boosting tuned,5816,1454,199,nan,0.8053645116918845,0.8162393162393162,0.7881705639614855,0.8019594121763471,0.8714507623990358,0.8762358883874529,0.17744154057771663,0.21182943603851445
pubchem_plus_maccs_plus_target,AdaBoost tuned,5816,1454,199,nan,0.6059147180192572,0.6037735849056604,0.6162310866574966,0.6099387338325392,0.6434424601109873,0.6284815902051659,0.40440165061898214,0.38376891334250346
