pubchem_cid,ranked_uniprots,supported_hits,sampled_unsupported_hits
5717,7342,2,300
5719,7471,7,300
5720,7474,2,300
5724,7229,1,300
5734,7417,17,340
5741,7455,2,300
5746,7460,2,300
5754,7528,1,300
5756,7581,0,300
5757,7581,17,340
5790,7331,1,300
5795,7103,3,300
5807,7473,1,300
5815,7226,5,300
5816,7541,2,300
5831,7623,7,300
5833,7527,2,300
5852,7420,1,300
5853,7478,2,300
5870,7534,1,300
5878,7532,1,300
5893,7060,28,560
5905,7331,1,300
5910,7479,1,300
5936,7482,37,740
5962,7479,1,300
5965,7512,2,300
59694,7541,16,320
59772,7289,3,300
59774,7386,0,300
5983,7475,2,300
5991,7581,1,300
5994,7581,18,360
5997,7577,7,300
6013,7532,15,300
6014,6857,1,300
60198,7581,2,300
6047,7475,2,300
6049,7532,2,300
60490,7336,1,300
60692,7379,11,300
60699,7381,3,300
60750,7249,4,300
60781,7152,2,300
60790,7456,13,300
60795,7385,7,300
6081,7475,0,300
60824,7400,2,300
6083,7304,7,300
60846,7283,1,300
60855,7381,1,300
60857,7472,2,300
60875,7230,1,300
60953,7226,1,300
60961,7400,0,300
6100,7401,2,300
610479,7410,2,300
61100,6638,2,300
6140,7479,6,300
6215,7450,1,300
6230,7340,1,300
6253,7331,1,300
6256,7329,1,300
6274,7418,2,300
62770,7423,5,300
6279,7578,1,300
62857,7399,1,300
6287,7482,3,300
6288,7482,2,300
62882,7127,2,300
62956,7384,1,300
62969,7375,2,300
63030,6714,0,300
6306,7482,5,300
6314,7474,0,300
636362,6520,2,300
636399,7537,2,300
64119,7623,8,300
6420009,6817,1,300
6420040,7471,0,300
6420042,7528,3,300
6431825,7260,12,300
6436002,7460,0,300
6444692,7381,47,940
6446,7464,2,300
6450551,7386,13,300
64642,5859,3,300
64922,7207,1,300
65324,7530,2,300
65326,7257,1,300
65327,7472,0,300
65329,6697,0,300
65348,6951,2,300
65494,7335,1,300
656583,7467,0,300
656631,6757,8,300
656652,7408,13,300
656664,7401,3,300
656783,7473,2,300
657201,7620,3,300
657298,7480,2,300
657348,7049,1,300
65889,7294,3,300
65981,7375,0,300
65999,7351,2,300
66062,7463,0,300
66068,6774,0,300
